"","ItemID.LIsting_id.","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","num_of_yuanzhuang","num_of_acc_no_price","bundle_price","price_ref","bundle_add_on","price_ref_rel","num_of_acc_rel","premium","premium_percent","ind_firstbundle_noacc","premref1","diff"
"81",23969324559,1,13,13,9,9,5,5,0,1,3100,65,275,65,13,210,0.067741935483871,TRUE,0,NA
"82",23969324559,2,16,16,12,12,5,5,0,2,3160,100,335,100,16,235,0.0743670886075949,TRUE,25,"7"
"83",23969324559,3,18,18,14,14,7,7,0,2,3180,130,355,130,18,225,0.0707547169811321,TRUE,15,"9"
"84",23969324559,4,20,20,15,15,9,9,0,1,3240,400,415,400,20,15,0.00462962962962963,TRUE,-195,"13"
"85",23969324559,5,20,20,15,15,9,9,0,1,3330,410,505,410,20,95,0.0285285285285285,TRUE,-115,"13"
"86",23969324559,6,20,20,15,15,9,9,0,1,3330,410,505,410,20,95,0.0285285285285285,TRUE,-115,"13"
"87",23969324559,7,20,20,15,15,9,9,0,1,3390,410,565,410,20,155,0.0457227138643068,TRUE,-55,"13"
"88",23969324559,8,20,20,15,15,9,9,0,1,3480,410,655,410,20,245,0.0704022988505747,TRUE,35,"13"
"89",24291960195,1,4,4,4,4,4,4,0,1,5030,23,931,23,4,908,0.18051689860835,TRUE,0,NA
"90",24291960195,2,5,5,5,5,5,5,0,2,5130,35,1031,35,5,996,0.194152046783626,TRUE,88,"3"
"91",24291960195,3,7,7,7,7,6,6,0,2,5250,75,1151,75,7,1076,0.204952380952381,TRUE,168,"7"
"92",24291960195,4,7,7,7,7,6,6,1,2,5470,175,1371,175,7,1196,0.218647166361974,TRUE,288,"7"
"93",24291960195,5,7,7,7,7,6,6,0,2,5450,105,1351,105,7,1246,0.228623853211009,TRUE,338,"7"
"94",24291960195,6,7,7,7,7,6,6,0,2,5510,105,1411,105,7,1306,0.237023593466425,TRUE,398,"7"
