"","ItemID.LIsting_id.","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","num_of_yuanzhuang","num_of_acc_no_price","bundle_price","price_ref"
"35",45098511732,0,0,0,0,0,0,0,0,0,5098,0
"36",45098511732,1,12,9,12,9,0,0,0,4,5338,280
"37",45098511732,2,17,14,14,12,1,1,1,4,5678,410
"38",45098511732,3,17,14,13,11,2,2,1,4,5878,540
"39",45098511732,4,20,17,16,14,2,2,1,4,5968,720
"40",45098511732,5,12,9,11,8,1,1,0,0,5237,0
"41",45098511732,6,16,13,12,10,2,2,1,0,5546,0
"42",45098511732,7,18,15,13,11,2,2,1,0,5626,0
"43",45098511732,8,21,18,16,14,2,2,1,0,5717,0
"44",45303233460,10,0,0,0,0,0,0,0,0,3250,0
"45",45303233460,11,13,13,13,13,13,13,0,0,3450,495
"46",45303233460,12,14,14,14,14,14,14,0,0,3680,550
"47",45303233460,13,13,13,13,13,13,13,0,0,3730,510
"48",45303233460,14,0,0,0,0,0,0,0,0,4730,0
"49",45303233460,15,13,13,13,13,13,13,0,0,4930,495
"50",45303233460,16,14,14,14,14,14,14,0,0,5160,550
"51",45303233460,17,13,13,13,13,13,13,0,0,5210,510
"52",45303233460,18,0,0,0,0,0,0,0,0,4560,0
"53",45303233460,19,13,13,13,13,13,13,0,0,4760,495
"54",45303233460,20,14,14,14,14,14,14,0,0,4990,550
"55",45303233460,21,13,13,13,13,13,13,0,0,5040,510
"56",5.20405e+11,0,0,0,0,0,0,0,0,0,3880,0
"57",5.20405e+11,1,11,10,11,10,3,3,0,2,3980,255
"58",5.20405e+11,2,13,12,13,12,5,5,0,2,4038,355
"59",5.20405e+11,3,13,12,13,12,5,5,0,2,4088,375
"60",5.20405e+11,4,14,13,14,13,6,6,1,2,4348,535
"61",5.20405e+11,5,14,13,14,13,6,6,1,2,4398,555
"62",5.20405e+11,6,15,14,15,14,7,7,1,0,4628,0
"63",5.20405e+11,7,15,14,15,14,7,7,1,0,4718,0
"64",5.2325e+11,0,0,0,0,0,0,0,0,0,3699,0
"65",5.2325e+11,1,9,9,4,4,3,3,0,1,3939,61
"66",5.2325e+11,2,12,12,5,5,3,3,0,1,3999,136
"67",5.2325e+11,3,14,14,6,6,4,4,0,1,4219,229
"68",5.2325e+11,4,17,17,9,9,4,4,0,1,4309,374
"69",5.2325e+11,5,10,10,5,5,5,5,1,0,4998,0
"70",5.2325e+11,6,13,13,6,6,5,5,1,0,5058,0
"71",5.2325e+11,7,14,14,6,6,5,5,1,0,5148,0
"72",5.2325e+11,8,17,17,9,9,5,5,1,0,5248,0
"73",5.23786e+11,0,0,0,0,0,0,0,0,0,4899,0
"74",5.23786e+11,1,8,8,3,3,2,2,0,0,5139,191
"75",5.23786e+11,2,11,11,4,4,2,2,0,0,5199,271
"76",5.23786e+11,3,13,13,5,5,3,3,0,0,5419,364
"77",5.23786e+11,4,16,16,8,8,3,3,0,0,5499,509
"78",5.23786e+11,5,10,10,5,5,5,5,1,0,4998,0
"79",5.23786e+11,6,13,13,6,6,5,5,1,0,5058,0
"80",5.23786e+11,7,14,14,6,6,5,5,1,0,5148,0
"81",5.23786e+11,8,17,17,9,9,5,5,1,0,5248,0
"82",5.24364e+11,0,6,6,6,6,2,2,0,3,3299,235
"83",5.24364e+11,1,19,17,16,14,6,6,0,5,3449,595
"84",5.24364e+11,2,19,17,16,14,6,6,0,5,3489,645
"85",5.24364e+11,3,21,19,17,15,8,8,1,5,3749,720
"86",5.24364e+11,4,21,19,17,15,8,8,1,5,3829,720
"87",5.24364e+11,5,24,22,20,18,9,9,1,5,3799,778
"88",5.24364e+11,6,24,22,20,18,9,9,2,5,3949,828
"89",5.24364e+11,7,24,22,20,18,9,9,1,5,3959,778
"90",5.24364e+11,8,24,22,20,18,9,9,2,5,4159,908
"91",5.24556e+11,0,0,0,0,0,0,0,0,0,3868,0
"92",5.24556e+11,1,18,16,2,1,1,0,1,2,4049,20
"93",5.24556e+11,2,18,16,2,1,1,1,1,2,4089,25
"94",5.24556e+11,3,18,16,2,1,1,0,1,2,4169,30
"95",5.24556e+11,4,18,16,2,1,1,0,1,2,4289,55
"96",5.24556e+11,5,19,17,3,2,2,1,2,2,4229,95
"97",5.24556e+11,6,19,17,3,2,2,1,2,2,4269,100
"98",5.24556e+11,7,19,17,3,2,2,1,2,2,4349,105
"99",5.24556e+11,8,19,17,3,2,2,1,2,2,4469,130
"100",5.24822e+11,0,0,0,0,0,0,0,0,0,3600,0
"101",5.24822e+11,1,9,9,8,8,4,4,0,0,3840,0
"102",5.24822e+11,2,9,9,8,8,4,4,0,0,3870,0
"103",5.24822e+11,3,9,9,8,8,4,4,0,0,3920,0
"104",5.24822e+11,4,9,9,8,8,4,4,0,0,3970,0
"105",5.24822e+11,5,11,11,9,9,5,5,0,0,3940,0
"106",5.24822e+11,6,11,11,9,9,5,5,0,0,4010,0
"107",5.24822e+11,7,11,11,9,9,5,5,0,0,4080,0
"108",5.24822e+11,8,12,12,10,10,6,6,0,0,4160,0
"109",5.249e+11,0,0,0,0,0,0,0,0,0,3370,0
"110",5.249e+11,1,9,9,9,9,9,9,1,0,3570,275
"111",5.249e+11,2,9,9,9,9,9,9,1,0,3670,305
"112",5.249e+11,3,9,9,9,9,9,9,1,0,3770,405
"113",5.249e+11,4,9,9,9,9,9,9,2,0,3970,430
"114",5.249e+11,5,0,0,0,0,0,0,0,0,4070,0
"115",5.249e+11,6,9,9,9,9,9,9,1,0,4270,275
"116",5.249e+11,7,9,9,9,9,9,9,1,0,4370,305
"117",5.249e+11,8,9,9,9,9,9,9,1,0,4470,405
"118",5.249e+11,9,9,9,9,9,9,9,2,0,4670,430
"119",5.25366e+11,0,0,0,0,0,0,0,0,0,3900,0
"120",5.25366e+11,1,11,10,5,4,2,2,0,2,4100,145
"121",5.25366e+11,2,11,10,5,4,2,2,0,2,4140,175
"122",5.25366e+11,3,12,11,6,5,3,3,0,2,4240,205
"123",5.25366e+11,4,12,11,6,5,3,3,0,2,4280,235
"124",5.25366e+11,5,12,11,6,5,3,3,1,0,4680,0
"125",5.25366e+11,6,12,11,6,5,3,3,1,0,4720,0
"126",0,0,0,0,0,0,0,0,0,0,0,0
