"","X.x","item_id","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","num_of_yuanzhuang","num_of_acc_no_price","bundle_price","price_ref","price_ref_adjgift","bundle_add_on","price_ref_rel","num_of_acc_rel","premium","premium_percent","ind_firstbundle_noacc","premrel1","benchmark","total_n_of_a","total_price_of_a","premium_minus_a","perc_premrel1","premium_minus_a_perc","Author","diff","diff_minus_a","X.y","item_sales","bundle_sales","filterted_item_sales","filtered_bundle_sales","share","filtered_item_share"
"69",69,23969324559,"2",16,16,12,12,5,5,0,0,3160,645,540,60,280,3,-220,-0.069620253164557,FALSE,-220,2750,2,70,-290,-0.08,-0.105454545454545,"suyang",7,5,NA,NA,".",NA,NA,".",NA
"70",70,23969324559,"3",18,18,14,14,7,7,0,0,3180,715,610,80,350,5,-270,-0.0849056603773585,FALSE,-270,2750,2,70,-340,-0.0981818181818182,-0.123636363636364,"suyang",9,7,NA,NA,".",NA,NA,".",NA
"76",76,24291960195,"2",5,5,5,5,5,5,0,0,5130,158,158,100,46,1,54,0.0105263157894737,FALSE,54,4099,1,22,32,0.0131739448646011,0.00780678214198585,"suyang",3,2,NA,NA,".",NA,NA,".",NA
"77",77,24291960195,"3",7,7,7,7,6,6,0,0,5250,268,268,220,156,3,64,0.0121904761904762,FALSE,64,4099,2,72,-8,0.0156135642839717,-0.00195169553549646,"suyang",7,5,NA,NA,".",NA,NA,".",NA
"78",78,24291960195,"4",7,7,7,7,6,6,0,0,5470,288,288,440,176,3,264,0.0482632541133455,FALSE,264,4099,2,72,192,0.0644059526713833,0.0468406928519151,"suyang",7,5,NA,NA,".",NA,NA,".",NA
"79",79,24291960195,"5",7,7,7,7,6,6,0,0,5450,498,498,420,386,3,34,0.00623853211009174,FALSE,34,4099,2,72,-38,0.00829470602585997,-0.0092705537936082,"suyang",7,5,NA,NA,".",NA,NA,".",NA
"80",80,24291960195,"6",7,7,7,7,6,6,0,0,5510,520,520,480,408,3,72,0.0130671506352087,FALSE,72,4099,2,72,0,0.0175652598194682,0,"suyang",7,5,NA,NA,".",NA,NA,".",NA
"81",81,24291960195,"7",7,7,7,7,6,6,0,0,5730,540,540,700,428,3,272,0.0474694589877836,FALSE,272,4099,2,72,200,0.0663576482068797,0.0487923883874116,"suyang",7,5,NA,NA,".",NA,NA,".",NA
"82",82,24319152517,"2",7,7,7,7,0,0,0,0,3798,325,325,200,45,2,155,0.040810953133228,FALSE,155,3348,1,35,120,0.0462962962962963,0.03584229390681,"suyang",4,3,56,1,"1",NA,NA,"1",NA
"86",86,24596036343,"2",12,12,7,7,6,6,0,0,3319,340,245,60,80,2,-20,-0.00602591141910214,FALSE,-20,3049,0,0,-20,-0.00655952771400459,-0.00655952771400459,"suyang",2,2,59,5,"3",NA,NA,"0.6",NA
"87",87,24596036343,"3",13,13,8,8,7,7,0,0,3479,380,285,220,120,3,100,0.0287438919229664,FALSE,100,3049,1,35,65,0.032797638570023,0.0213184650705149,"suyang",5,4,NA,NA,".",NA,NA,".",NA
"88",88,24596036343,"4",14,14,9,9,7,7,0,1,3599,440,345,340,180,4,160,0.0444567935537649,FALSE,160,3049,2,40,120,0.0524762217120367,0.0393571662840276,"suyang",8,6,NA,NA,".",NA,NA,".",NA
"89",89,24596036343,"5",14,14,9,9,7,7,0,2,3799,315,220,540,55,4,485,0.127665175046065,FALSE,485,3049,2,40,445,0.159068547064611,0.145949491636602,"suyang",8,6,NA,NA,".",NA,NA,".",NA
"90",90,24596036343,"6",15,15,10,10,8,8,0,2,4049,495,400,790,235,5,555,0.137070881699185,FALSE,555,3049,2,40,515,0.182026894063627,0.168907838635618,"suyang",9,7,NA,NA,".",NA,NA,".",NA
"96",96,26519380192,"2",15,15,8,8,9,9,0,2,3600,268,190,110,30,1,80,0.0222222222222222,FALSE,80,3260,1,0,80,0.0245398773006135,0.0245398773006135,"suyang",3,2,NA,NA,".",NA,NA,".",NA
"97",97,26519380192,"3",15,15,8,8,9,9,0,1,3710,408,330,220,170,1,50,0.0134770889487871,FALSE,50,3260,2,30,20,0.0153374233128834,0.00613496932515337,"suyang",5,3,NA,NA,".",NA,NA,".",NA
"98",98,26519380192,"4",15,15,8,8,9,9,0,1,3820,408,330,330,170,1,160,0.0418848167539267,FALSE,160,3260,4,55,105,0.049079754601227,0.0322085889570552,"suyang",9,5,NA,NA,".",NA,NA,".",NA
"99",99,26519380192,"5",17,17,10,10,10,10,0,1,3930,618,540,440,380,3,60,0.0152671755725191,FALSE,60,3260,4,55,5,0.0184049079754601,0.00153374233128834,"suyang",11,7,NA,NA,".",NA,NA,".",NA
"100",100,26519380192,"6",17,17,10,10,10,10,0,1,4140,888,810,650,650,3,0,0,FALSE,0,3260,4,55,-55,0,-0.0168711656441718,"suyang",11,7,NA,NA,".",NA,NA,".",NA
"101",101,26519380192,"7",17,17,10,10,10,10,0,1,4640,1018,940,1150,780,3,370,0.0797413793103448,FALSE,370,3260,4,55,315,0.113496932515337,0.0966257668711656,"suyang",11,7,NA,NA,".",NA,NA,".",NA
"102",102,27462844289,"2",12,12,4,4,6,6,0,1,3260,506,295,40,-10,0,50,0.0153374233128834,FALSE,50,3060,2,90,-40,0.0163398692810458,-0.0130718954248366,"suyang",4,2,73,152,"26",38,6,"0.17",0.16
"103",103,27462844289,"3",13,13,5,5,7,7,0,1,3460,611,400,240,95,1,145,0.0419075144508671,FALSE,145,3060,1,35,110,0.0473856209150327,0.0359477124183007,"suyang",3,2,74,152,"22",38,5,"0.14",0.13
"104",104,27462844289,"4",13,13,5,5,7,7,0,1,3540,631,420,320,115,1,205,0.057909604519774,FALSE,205,3060,1,35,170,0.0669934640522876,0.0555555555555556,"suyang",3,2,75,152,"19",38,4,"0.13",0.11
"105",105,27462844289,"5",15,15,7,7,9,9,0,1,3960,851,640,740,335,3,405,0.102272727272727,FALSE,405,3060,2,235,170,0.132352941176471,0.0555555555555556,"suyang",7,5,76,152,"20",38,5,"0.13",0.13
"106",106,27462844289,"6",15,15,7,7,9,9,0,1,4040,871,660,820,355,3,465,0.11509900990099,FALSE,465,3060,2,235,230,0.151960784313725,0.0751633986928105,"suyang",7,5,77,152,"30",38,3,"0.2",0.08
"107",107,35540978058,"2",11,11,5,5,4,4,0,0,3338,630,410,210,275,2,-65,-0.0194727381665668,FALSE,-65,2998,1,35,-100,-0.0216811207471648,-0.0333555703802535,"suyang",4,3,82,8,"3",5,2,"0.38",0.4
"108",108,35540978058,"3",12,12,6,6,5,5,0,1,3448,630,410,320,275,3,45,0.0130510440835267,FALSE,45,2998,1,35,10,0.0150100066711141,0.00333555703802535,"suyang",5,4,83,8,"1",5,NA,"0.13",NA
"109",109,35540978058,"4",12,12,6,6,5,5,0,1,3598,622,402,470,267,3,203,0.056420233463035,FALSE,203,2998,1,35,168,0.0677118078719146,0.0560373582388259,"suyang",5,4,NA,NA,".",NA,NA,".",NA
"110",110,35540978058,"5",12,12,6,6,5,5,0,0,3798,847,627,670,492,3,178,0.0468667719852554,FALSE,178,2998,1,35,143,0.0593729152768512,0.0476984656437625,"suyang",5,4,NA,NA,".",NA,NA,".",NA
"111",111,35674260254,"2",13,13,11,11,2,2,0,0,2930,463,353,30,13,0,17,0.00580204778156997,FALSE,17,2710,1,22,-5,0.00627306273062731,-0.0018450184501845,"suyang",2,1,NA,NA,".",NA,NA,".",NA
"112",112,35674260254,"3",13,13,11,11,2,2,0,0,2970,458,348,70,8,0,62,0.0208754208754209,FALSE,62,2710,1,22,40,0.0228782287822878,0.014760147601476,"suyang",2,1,NA,NA,".",NA,NA,".",NA
"113",113,35674260254,"4",13,13,11,11,2,2,0,0,3050,478,368,150,28,0,122,0.04,FALSE,122,2710,1,22,100,0.0450184501845018,0.03690036900369,"suyang",2,1,NA,NA,".",NA,NA,".",NA
"114",114,35674260254,"5",14,14,12,12,2,2,0,0,3090,538,428,190,88,1,102,0.0330097087378641,FALSE,102,2710,1,22,80,0.0376383763837638,0.029520295202952,"suyang",3,2,NA,NA,".",NA,NA,".",NA
"115",115,35674260254,"6",14,14,12,12,2,2,0,0,3170,533,423,270,83,1,187,0.0589905362776025,FALSE,187,2710,1,22,165,0.0690036900369004,0.0608856088560886,"suyang",3,2,NA,NA,".",NA,NA,".",NA
