"","ItemID.LIsting_id.","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","num_of_yuanzhuang","num_of_acc_no_price","bundle_price","price_ref","price_ref_notadjustingforgift","bundle_add_on","price_ref_rel","price_ref_rel_notadjustingforgift","num_of_acc_rel","num_of_acc","premium","premium_notadjustingforgift","premium_percent_notadjustingforgift","ind_firstbundle_noacc"
"150",35540978058,5,12,12,6,6,5,5,0,0,3798,627,847,800,627,817,11,6,173,-17,-0.00447604002106372,FALSE
"151",35557065616,0,0,0,0,0,0,0,0,0,3280,0,0,0,0,0,0,0,0,0,0,TRUE
"152",35674260254,0,0,0,0,0,0,0,0,0,2710,0,0,0,0,0,0,0,0,0,0,TRUE
"153",35674260254,1,13,13,11,11,2,2,0,0,2900,340,450,190,340,450,13,11,-150,-260,-0.0896551724137931,TRUE
"154",35674260254,2,13,13,11,11,2,2,0,0,2930,353,463,220,353,463,13,11,-133,-243,-0.0829351535836177,TRUE
"155",35674260254,3,13,13,11,11,2,2,0,0,2970,348,458,260,348,458,13,11,-88,-198,-0.0666666666666667,TRUE
"156",35674260254,4,13,13,11,11,2,2,0,0,3050,368,478,340,368,478,13,11,-28,-138,-0.0452459016393443,TRUE
"157",35674260254,5,14,14,12,12,2,2,0,0,3090,428,538,380,428,538,14,12,-48,-158,-0.0511326860841424,TRUE
"158",35674260254,6,14,14,12,12,2,2,0,0,3170,423,533,460,423,533,14,12,37,-73,-0.0230283911671924,TRUE
"159",35674260254,7,14,14,12,12,2,2,0,0,3210,443,553,500,443,553,14,12,57,-53,-0.0165109034267913,TRUE
"160",35674260254,8,17,17,12,12,2,2,0,0,3250,443,663,540,443,663,17,12,97,-123,-0.0378461538461538,TRUE
"161",36513357018,0,0,0,0,0,0,0,0,0,2950,0,0,0,0,0,0,0,0,0,0,TRUE
"162",36513357018,1,1,1,1,1,1,1,0,0,2500,110,110,-450,110,110,1,1,-560,-560,-0.224,TRUE
"163",36513357018,2,12,12,12,12,3,3,0,0,3100,442,442,150,442,442,12,12,-292,-292,-0.0941935483870968,TRUE
"164",36513357018,3,13,13,13,13,4,4,0,0,3200,755,755,250,755,755,13,13,-505,-505,-0.1578125,TRUE
"165",36513357018,4,13,13,13,13,4,4,0,0,3250,750,750,300,750,750,13,13,-450,-450,-0.138461538461538,TRUE
"166",36513357018,5,13,13,13,13,4,4,0,0,3300,770,770,350,770,770,13,13,-420,-420,-0.127272727272727,TRUE
"167",36574928690,0,0,0,0,0,0,0,0,0,2860,0,0,0,0,0,0,0,0,0,0,TRUE
"168",36574928690,1,12,12,12,12,2,2,0,0,2960,230,230,100,230,230,12,12,-130,-130,-0.0439189189189189,TRUE
"169",36574928690,2,16,16,16,16,2,2,0,0,3040,490,490,180,490,490,16,16,-310,-310,-0.101973684210526,TRUE
"170",36574928690,3,18,18,18,18,3,3,0,0,3150,1130,1130,290,1130,1130,18,18,-840,-840,-0.266666666666667,TRUE
"171",36574928690,4,18,18,18,18,3,3,0,0,3260,1250,1250,400,1250,1250,18,18,-850,-850,-0.260736196319018,TRUE
"172",36574928690,5,18,18,18,18,3,3,0,0,3380,1250,1250,520,1250,1250,18,18,-730,-730,-0.215976331360947,TRUE
"173",36613205733,0,0,0,0,0,0,0,0,0,2849,0,0,0,0,0,0,0,0,0,0,TRUE
"174",36613205733,1,16,16,8,8,6,6,0,2,2999,275,390,150,275,390,16,8,-125,-240,-0.0800266755585195,TRUE
"175",36613205733,2,18,18,15,15,6,6,0,2,3059,390,470,210,390,470,18,15,-180,-260,-0.084995096436744,TRUE
"176",36613205733,3,19,19,16,16,7,7,0,2,3139,470,550,290,470,550,19,16,-180,-260,-0.0828289264096846,TRUE
"177",36613205733,4,21,21,18,18,7,7,0,2,3239,550,630,390,550,630,21,18,-160,-240,-0.0740969435010806,TRUE
"178",36613205733,5,22,22,19,19,8,8,0,2,3459,848,1028,610,848,1028,22,19,-238,-418,-0.120844174616941,TRUE
"179",36613205733,6,23,23,20,20,9,9,0,2,3589,933,1113,740,933,1113,23,20,-193,-373,-0.10392867093898,TRUE
"180",36910165248,0,0,0,0,0,0,0,0,0,2858,0,0,0,0,0,0,0,0,0,0,TRUE
"181",36910165248,1,7,6,6,5,0,0,0,1,3078,165,175,220,165,175,7,6,55,45,0.0146198830409357,TRUE
"182",36910165248,2,7,6,6,5,0,0,0,1,3118,170,180,260,170,180,7,6,90,80,0.0256574727389352,TRUE
"183",36910165248,3,12,10,11,9,0,0,0,2,3228,435,445,370,435,445,12,11,-65,-75,-0.0232342007434944,TRUE
"184",36910165248,4,12,10,11,9,0,0,0,2,3268,440,450,410,440,450,12,11,-30,-40,-0.0122399020807834,TRUE
"185",36910165248,5,12,10,11,9,0,0,0,2,3358,465,475,500,465,475,12,11,35,25,0.00744490768314473,TRUE
"186",36910165248,6,14,12,13,11,1,1,0,2,3418,540,550,560,540,550,14,13,20,10,0.00292568753657109,TRUE
"187",36910165248,7,14,12,13,11,1,1,0,2,3508,565,575,650,565,575,14,13,85,75,0.0213797035347777,TRUE
"188",36910165248,8,16,14,15,13,1,1,0,2,3588,715,725,730,715,725,16,15,15,5,0.00139353400222965,TRUE
"189",36982442137,0,0,0,0,0,0,0,0,0,3328,0,0,0,0,0,0,0,0,0,0,TRUE
"190",36982442137,1,21,21,13,13,0,0,0,0,3568.28571428571,661,819,240.285714285714,661,819,21,13,-420.714285714286,-578.714285714286,-0.162182720794299,TRUE
"191",36982442137,2,21,21,13,13,0,0,0,0,3626.85714285714,781,939,298.857142857143,781,939,21,13,-482.142857142857,-640.142857142857,-0.176500708996376,TRUE
"192",36982442137,3,22,22,12,12,0,0,0,1,3710,896,1064,382,896,1064,22,12,-514,-682,-0.183827493261456,TRUE
"193",36982442137,4,10,10,7,7,0,0,0,0,3756,440,480,428,440,480,10,7,-12,-52,-0.0138445154419595,TRUE
"194",36982442137,5,14,13,11,10,0,0,0,1,3856,390,470,528,390,470,14,11,138,58,0.0150414937759336,TRUE
"195",36982442137,6,14,13,11,10,0,0,0,1,3916,455,490,588,455,490,14,11,133,98,0.0250255362614913,TRUE
"196",36982442137,7,14,13,11,10,0,0,0,1,4136,455,490,808,455,490,14,11,353,318,0.0768858800773694,TRUE
"197",37241107923,0,0,0,0,0,0,0,0,0,2680,0,0,0,0,0,0,0,0,0,0,TRUE
"198",37241107923,1,5,5,5,5,1,1,0,0,2750,350,350,70,350,350,5,5,-280,-280,-0.101818181818182,TRUE
"199",37241107923,2,6,6,6,6,2,2,0,0,2840,415,415,160,415,415,6,6,-255,-255,-0.0897887323943662,TRUE
"200",37443266749,0,0,0,0,0,0,0,0,0,3280,0,0,0,0,0,0,0,0,0,0,TRUE
"201",37443266749,1,16,14,3,1,2,2,0,2,3565,35,450,285,35,450,16,3,250,-165,-0.0462833099579243,TRUE
"202",37443266749,2,16,14,3,1,2,2,0,2,3596,30,445,316,30,445,16,3,286,-129,-0.03587319243604,TRUE
"203",37443266749,3,16,14,3,1,2,2,0,2,3645,50,465,365,50,465,16,3,315,-100,-0.0274348422496571,TRUE
"204",37443266749,4,17,15,3,1,2,2,0,2,3625,35,510,345,35,510,17,3,310,-165,-0.0455172413793103,TRUE
"205",37443266749,5,17,15,3,1,2,2,0,2,3655,30,505,375,30,505,17,3,345,-130,-0.0355677154582763,TRUE
"206",37443266749,6,17,15,3,1,2,2,0,2,3705,50,525,425,50,525,17,3,375,-100,-0.0269905533063428,TRUE
