"","item_id","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","num_of_yuanzhuang","num_of_acc_no_price","bundle_price","price_ref","price_ref_adjgift","bundle_add_on","price_ref_rel","num_of_acc_rel","premium","premium_percent","ind_firstbundle_noacc","premrel1","prem_adjacent","benchmark","prem_adjacent_perc","Author","bundleindexhigh","diff"
"100",36574928690,2,16,16,16,16,2,2,0,0,3040,490,490,180,490,16,-310,-0.101973684210526,TRUE,-180,-530,2860,-0.185314685314685,"suyang",3,7
"101",36574928690,3,18,18,18,18,3,3,0,0,3150,1130,1130,290,1130,18,-840,-0.266666666666667,TRUE,-710,-10,2860,-0.0034965034965035,"suyang",4,3
"102",36574928690,4,18,18,18,18,3,3,0,0,3260,1250,1250,400,1250,18,-850,-0.260736196319018,TRUE,-720,120,2860,0.041958041958042,"suyang",5,0
"103",36613205733,2,18,18,15,15,6,6,0,2,3059,470,390,210,470,18,-260,-0.084995096436744,TRUE,-20,0,2849,0,"suyang",3,3
"104",36613205733,3,19,19,16,16,7,7,0,2,3139,550,470,290,550,19,-260,-0.0828289264096846,TRUE,-20,20,2849,0.00702000702000702,"suyang",4,2
"105",36613205733,4,21,21,18,18,7,7,0,2,3239,630,550,390,630,21,-240,-0.0740969435010806,TRUE,0,-178,2849,-0.0624780624780625,"suyang",5,7
"106",36613205733,5,22,22,19,19,8,8,0,2,3459,1028,848,610,1028,22,-418,-0.120844174616941,TRUE,-178,45,2849,0.0157950157950158,"suyang",6,3
"107",36910165248,2,7,6,6,5,0,0,0,1,3118,180,170,260,180,7,80,0.0256574727389352,TRUE,35,-155,2858,-0.0542337298810357,"suyang",3,7
"108",36910165248,3,12,10,11,9,0,0,0,2,3228,445,435,370,445,12,-75,-0.0232342007434944,TRUE,-120,35,2858,0.0122463261021693,"suyang",4,2
"109",36910165248,4,12,10,11,9,0,0,0,2,3268,450,440,410,450,12,-40,-0.0122399020807834,TRUE,-85,65,2858,0.0227431770468859,"suyang",5,2
"110",36910165248,5,12,10,11,9,0,0,0,2,3358,475,465,500,475,12,25,0.00744490768314473,TRUE,-20,-15,2858,-0.00524842547235829,"suyang",6,6
"111",36910165248,6,14,12,13,11,1,1,0,2,3418,550,540,560,550,14,10,0.00292568753657109,TRUE,-35,65,2858,0.0227431770468859,"suyang",7,2
"112",36910165248,7,14,12,13,11,1,1,0,2,3508,575,565,650,575,14,75,0.0213797035347777,TRUE,30,-70,2858,-0.0244926522043387,"suyang",8,2
"113",36982442137,2,21,21,13,13,0,0,0,0,3626.85714285714,939,781,298.857142857143,939,21,-640.142857142857,-0.176500708996376,TRUE,-61.4285714285716,-41.8571428571427,3328,-0.0125772664835164,"suyang",3,11
"114",36982442137,3,22,22,12,12,0,0,0,1,3710,1064,896,382,1064,22,-682,-0.183827493261456,TRUE,-103.285714285714,630,3328,0.189302884615385,"suyang",4,11
"115",36982442137,4,10,10,7,7,0,0,0,0,3756,480,440,428,480,10,-52,-0.0138445154419595,TRUE,526.714285714286,110,3328,0.0330528846153846,"suyang",5,12
"116",36982442137,5,14,13,11,10,0,0,0,1,3856,470,390,528,470,14,58,0.0150414937759336,TRUE,636.714285714286,40,3328,0.0120192307692308,"suyang",6,2
"117",36982442137,6,14,13,11,10,0,0,0,1,3916,490,455,588,490,14,98,0.0250255362614913,TRUE,676.714285714286,220,3328,0.0661057692307692,"suyang",7,4
"118",37443266749,2,16,14,3,1,2,2,0,2,3596,445,30,316,445,16,-129,-0.03587319243604,TRUE,36,29,3280,0.00884146341463415,"suyang",3,2
"119",37443266749,3,16,14,3,1,2,2,0,2,3645,465,50,365,465,16,-100,-0.0274348422496571,TRUE,65,-65,3280,-0.0198170731707317,"suyang",4,3
"120",37443266749,4,17,15,3,1,2,2,0,2,3625,510,35,345,510,17,-165,-0.0455172413793103,TRUE,0,35,3280,0.0106707317073171,"suyang",5,2
"121",37443266749,5,17,15,3,1,2,2,0,2,3655,505,30,375,505,17,-130,-0.0355677154582763,TRUE,35,30,3280,0.00914634146341463,"suyang",6,2
"122",37745552927,2,9,9,6,6,1,1,0,0,3678,335,300,380,335,9,45,0.0122349102773246,TRUE,80,-5,3298,-0.00151607034566404,"suyang",3,4
"123",37745552927,3,11,11,7,7,2,2,0,0,3878,540,445,580,540,11,40,0.0103145951521403,TRUE,75,65,3298,0.0197089144936325,"suyang",4,6
"124",37745552927,4,15,15,10,10,2,2,0,0,4128,725,620,830,725,15,105,0.0254360465116279,TRUE,140,1135,3298,0.344147968465737,"suyang",5,15
"125",37994506504,2,12,12,1,1,4,4,0,0,3220,433,30,180,433,12,-253,-0.0785714285714286,TRUE,22,20,3040,0.00657894736842105,"suyang",3,2
"126",37994506504,3,12,12,1,1,4,4,0,0,3280,473,70,240,473,12,-233,-0.0710365853658537,TRUE,42,48,3040,0.0157894736842105,"suyang",4,4
"127",37994506504,4,14,14,2,2,5,5,0,0,3380,525,72,340,525,14,-185,-0.0547337278106509,TRUE,90,15,3040,0.00493421052631579,"suyang",5,5
"128",37994506504,5,13,13,2,2,5,5,0,0,3370,500,97,330,500,13,-170,-0.0504451038575668,TRUE,105,-28,3040,-0.00921052631578947,"suyang",6,3
"129",37994506504,6,14,14,2,2,6,6,0,0,3400,558,105,360,558,14,-198,-0.0582352941176471,TRUE,77,40,3040,0.0131578947368421,"suyang",7,2
"130",37994506504,7,14,14,2,2,6,6,0,0,3460,578,125,420,578,14,-158,-0.0456647398843931,TRUE,117,28,3040,0.00921052631578947,"suyang",8,4
"131",38631814095,2,12,12,9,9,4,4,0,0,3230,870,825,380,870,12,-490,-0.151702786377709,TRUE,25,540,2850,0.189473684210526,"suyang",3,3
"132",38663832002,2,15,13,7,5,2,2,0,3,3180,438,220,180,438,13,-258,-0.0811320754716981,FALSE,17,65,3000,0.0216666666666667,"suyang",3,2
