"","ItemID.LIsting_id.","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","bundle_price","optimal_price","premium_percent"
"188",36910165248,8,16,14,15,13,1,1,3588,NA,NA
"189",36982442137,0,0,0,0,0,0,0,3328,NA,NA
"190",36982442137,1,21,21,13,13,0,0,3568.28571428571,4147,-0.162182720794299
"191",36982442137,2,21,21,13,13,0,0,3626.85714285714,4267,-0.176500708996376
"192",36982442137,3,22,22,12,12,0,0,3710,NA,NA
"193",36982442137,4,10,10,7,7,0,0,3756,3813,-0.0151757188498403
"194",36982442137,5,14,13,11,10,0,0,3856,NA,NA
"195",36982442137,6,14,13,11,10,0,0,3916,NA,NA
"196",36982442137,7,14,13,11,10,0,0,4136,NA,NA
"197",37241107923,0,0,0,0,0,0,0,2680,NA,NA
"198",37241107923,1,5,5,5,5,1,1,2750,3030,-0.101818181818182
"199",37241107923,2,6,6,6,6,2,2,2840,3095,-0.0897887323943662
"200",37443266749,0,0,0,0,0,0,0,3280,NA,NA
"201",37443266749,1,16,14,3,1,2,2,3565,NA,NA
"202",37443266749,2,16,14,3,1,2,2,3596,NA,NA
"203",37443266749,3,16,14,3,1,2,2,3645,NA,NA
"204",37443266749,4,17,15,3,1,2,2,3625,NA,NA
"205",37443266749,5,17,15,3,1,2,2,3655,NA,NA
"206",37443266749,6,17,15,3,1,2,2,3705,NA,NA
"207",37745552927,0,0,0,0,0,0,0,3298,NA,NA
"208",37745552927,1,6,6,4,4,0,0,3508,3543,-0.00997719498289624
"209",37745552927,2,9,9,6,6,1,1,3678,3633,0.0122349102773246
"210",37745552927,3,11,11,7,7,2,2,3878,3838,0.0103145951521403
"211",37745552927,4,15,15,10,10,2,2,4128,4053,0.0181686046511628
"212",37745552927,5,8,8,5,5,2,2,4538,NA,NA
"213",37870465778,0,0,0,0,0,0,0,2750,NA,NA
"214",37870465778,1,5,5,0,0,0,0,2830,3100,-0.0954063604240283
"215",37908516066,0,0,0,0,0,0,0,3290,NA,NA
"216",37994506504,0,0,0,0,0,0,0,3040,NA,NA
"217",37994506504,1,12,12,1,1,4,4,3190,3450,-0.0815047021943574
"218",37994506504,2,12,12,1,1,4,4,3220,3458,-0.0739130434782609
"219",37994506504,3,12,12,1,1,4,4,3280,3498,-0.0664634146341463
"220",37994506504,4,14,14,2,2,5,5,3380,3550,-0.0502958579881657
"221",37994506504,5,13,13,2,2,5,5,3370,3525,-0.0459940652818991
"222",37994506504,6,14,14,2,2,6,6,3400,3583,-0.0538235294117647
"223",37994506504,7,14,14,2,2,6,6,3460,3603,-0.0413294797687861
"224",37994506504,8,16,16,3,3,7,7,3560,3675,-0.0323033707865169
"225",38631814095,0,0,0,0,0,0,0,2850,NA,NA
"226",38631814095,1,11,11,8,8,3,3,3110,3625,-0.165594855305466
"227",38631814095,2,12,12,9,9,4,4,3230,3720,-0.151702786377709
"228",38631814095,3,13,13,10,10,4,4,3350,3300,0.0149253731343284
"229",38663832002,0,2,1,2,1,0,0,3000,NA,NA
"230",38663832002,1,15,13,7,5,2,2,3150,NA,NA
"231",38663832002,2,15,13,7,5,2,2,3180,NA,NA
"232",38663832002,3,15,13,7,5,2,2,3240,NA,NA
"233",38663832002,4,17,15,8,6,3,3,3340,NA,NA
"234",38663832002,5,16,14,8,6,3,3,3330,NA,NA
"235",38663832002,6,17,15,9,7,3,3,3360,NA,NA
