"","item_id","bundle_index1","bundle_index2","premrel","diff"
"233",43168072227,1,4,-32.8500000000004,12
"234",43168072227,1,5,86.4300000000003,12
"235",43168072227,1,6,152.86,12
"236",43168072227,1,7,164.29,13
"237",43168072227,1,8,244.29,13
"238",43426870825,1,2,80,4
"239",43426870825,1,3,110,5
"240",43426870825,1,4,320,5
"241",43426870825,1,5,405,5
"242",43452978184,1,2,-160,5
"243",43452978184,1,3,-220,5
"244",43452978184,1,4,-280,6
"245",43473279886,1,2,30,0
"246",43473279886,1,3,40,0
"247",43473279886,1,4,20,0
"248",43473279886,1,5,40,0
"249",43736454825,1,2,35,2
"250",43736454825,1,3,-45,6
"251",43736454825,1,4,-35,10
"252",43736454825,1,5,5,10
"253",43736454825,1,6,80,9
"254",43736454825,1,7,155,10
"255",43736454825,1,8,170,13
"256",43853759026,1,2,54,1
"257",43853759026,1,3,85,2
"258",43853759026,1,4,79,3
"259",43853759026,1,5,135,1
"260",43853759026,1,6,150,4
"261",43853759026,1,7,204,2
"262",43853759026,1,8,235,4
"263",43859660891,1,2,5,2
"264",43859660891,1,3,20,2
"265",43859660891,1,4,40,2
"266",43859660891,1,5,245,1
"267",43859660891,1,6,250,3
"268",43859660891,1,7,265,3
"269",43859660891,1,8,285,3
"270",44021641588,1,2,5,1
"271",44021641588,1,3,30,1
"272",44021641588,1,4,50,1
"273",44069100271,1,2,54,2
"274",44069100271,1,3,85,2
"275",44069100271,1,4,79,1
"276",44069100271,1,5,135,3
"277",44069100271,1,6,200,1
"278",44069100271,1,7,254,3
"279",44069100271,1,8,285,3
"280",44231886556,1,2,50,10
"281",44231886556,1,3,30,15
"282",44231886556,1,4,30,18
"283",44331296085,1,2,55,3
"284",44331296085,1,3,190,10
"285",44799642380,1,2,15.2400000000002,2
"286",44799642380,1,3,40.1600000000003,2
"287",44799642380,1,4,84.6800000000003,2
"288",44799642380,1,5,-19.3599999999997,5
"289",44799642380,1,6,4.68000000000029,7
"290",44799642380,1,7,29.6000000000004,7
"291",44799642380,1,8,75,7
"292",44881048637,1,2,122,3
"293",44881048637,1,3,454,8
"294",44881048637,1,4,537,11
"295",45219159638,1,2,75,0
"296",45219159638,1,3,-5,13
"297",45219159638,1,3,-5,13
"298",45219159638,1,4,5,15
"299",45219159638,1,4,5,15
"300",45293052304,1,2,20,2
"301",45293052304,1,3,90,2
"302",45293052304,1,4,65,3
"303",45293052304,1,5,85,5
"304",45293052304,1,6,155,5
"305",45410114111,1,2,35,2
"306",45410114111,1,3,748,2
"307",45410114111,1,4,75,4
"308",45410114111,1,5,898,6
"309",45410114111,1,6,195,7
"310",45410114111,1,7,153,11
"311",45410114111,1,8,1118,11
"312",5.21514e+11,1,2,17,2
"313",5.21514e+11,1,3,-190,5
"314",5.21514e+11,1,4,-183,7
"315",5.21514e+11,1,5,-168,8
"316",5.21514e+11,1,6,-325,9
"317",5.21514e+11,1,7,-308,11
"318",5.21514e+11,1,8,-258,11
"319",5.2187e+11,1,2,25,2
"320",5.2187e+11,1,3,120,3
"321",5.2187e+11,1,4,-100,3
"322",5.2187e+11,1,5,-45,5
"323",5.2187e+11,1,6,-20,4
"324",5.22034e+11,1,2,15,2
"325",5.22034e+11,1,3,40,2
"326",5.22034e+11,1,4,85,2
"327",5.22034e+11,1,5,-60,5
"328",5.22034e+11,1,6,-45,8
"329",5.22034e+11,1,7,-20,7
"330",5.22034e+11,1,8,25,6
"331",5.22086e+11,1,2,35,2
"332",5.22086e+11,1,3,85,2
"333",5.22086e+11,1,4,-185,4
"334",5.22086e+11,1,5,-90,4
"335",5.22086e+11,1,6,380,4
"336",5.22098e+11,1,2,15.4099999999999,2
"337",5.22098e+11,1,3,-119.3,4
"338",5.22098e+11,1,4,-172.62,8
"339",5.22098e+11,1,5,-130.72,8
"340",5.22098e+11,1,6,-49.27,6
"341",5.22098e+11,1,7,-57.3700000000003,9
"342",5.22098e+11,1,8,-40.4700000000003,9
"343",5.22145e+11,1,2,-35,3
"344",5.22145e+11,1,3,20,3
"345",5.22145e+11,1,4,-30,4
"346",5.22145e+11,1,5,-30,2
"347",5.22145e+11,1,6,-15,4
"348",5.22145e+11,1,7,125,4
"349",5.22145e+11,1,8,185,4
"350",5.22744e+11,1,2,15,2
"351",5.22744e+11,1,3,40,2
"352",5.22744e+11,1,4,85,2
"353",5.22744e+11,1,5,225,1
"354",5.22744e+11,1,6,240,3
"355",5.22744e+11,1,7,265,3
"356",5.22744e+11,1,8,310,3
"357",5.22864e+11,1,2,5,2
"358",5.22864e+11,1,3,30,1
"359",5.22864e+11,1,4,50,1
"360",5.23084e+11,1,2,416,2
"361",5.23084e+11,1,3,40,1
"362",5.23084e+11,1,4,90,1
"363",5.23084e+11,1,5,175,1
"364",5.23084e+11,1,6,636,3
"365",5.23084e+11,1,7,375,3
"366",5.23084e+11,1,8,1186,5
"367",5.23777e+11,1,2,35,2
"368",5.23777e+11,1,3,-120,4
